;ShotType;Transition;TwoLegged;Angle;Distance;competition_EURO;competition_NBA;competition_SLO1;competition_U14;playertype_F;playertype_G;movement_dribble or cut;movement_no
4058;0;0;1;83.11;7.07;1;0;0;0;0;1;0;1
4059;0;0;1;38.91;7.25;1;0;0;0;0;1;0;1
4060;0;0;1;39.18;7.21;1;0;0;0;0;1;0;1
4061;1;1;0;4.84;0.63;1;0;0;0;0;1;1;0
4062;0;0;1;45.54;7.13;1;0;0;0;0;1;0;1
4063;1;0;0;72.34;0.84;1;0;0;0;0;1;1;0
4064;0;0;1;33.84;7.5;1;0;0;0;1;0;0;1
4065;0;0;1;60.12;7.11;1;0;0;0;1;0;0;1
4066;0;1;1;80.53;7.11;1;0;0;0;1;0;0;1
4067;0;0;1;85.28;7.04;1;0;0;0;1;0;0;1
4068;0;0;1;83.99;3.99;1;0;0;0;1;0;0;1
4069;0;0;1;89.03;3.96;1;0;0;0;1;0;0;1
4070;0;0;1;24.6;5.02;1;0;0;0;1;0;0;1
4071;0;0;1;23.22;2.45;1;0;0;0;1;0;0;1
4072;0;0;1;0.51;6.02;1;0;0;0;1;0;0;1
4073;0;0;1;58.78;7.14;1;0;0;0;1;0;0;1
4074;3;0;1;9.51;1.3;1;0;0;0;1;0;0;1
4075;3;0;1;6.35;1.94;1;0;0;0;1;0;0;1
4076;0;0;1;0.0;7.42;1;0;0;0;1;0;0;1
4077;0;0;1;61.5;7.19;1;0;0;0;1;0;0;1
4078;1;0;0;82.29;0.7;1;0;0;0;1;0;0;0
4079;0;0;1;47.34;7.21;1;0;0;0;1;0;0;1
4080;0;0;1;71.63;4.91;1;0;0;0;1;0;0;1
4081;1;1;0;55.84;0.65;1;0;0;0;0;1;1;0
4082;0;0;1;32.68;7.34;1;0;0;0;0;1;0;1
4083;0;1;1;41.07;7.34;1;0;0;0;0;1;0;1
4084;0;0;1;45.03;3.03;1;0;0;0;0;1;0;1
4085;1;0;0;72.56;0.67;1;0;0;0;0;1;1;0
4086;0;0;1;57.98;5.56;1;0;0;0;0;1;0;1
4087;5;0;0;14.57;4.05;1;0;0;0;0;1;0;0
4088;0;0;1;44.33;7.21;1;0;0;0;0;1;0;1
4089;0;0;1;79.56;0.82;1;0;0;0;0;1;0;1
4090;0;0;1;45.81;7.4;1;0;0;0;0;1;0;1
4091;4;0;1;84.71;1.02;1;0;0;0;0;1;0;1
4092;5;0;0;83.76;3.34;1;0;0;0;0;1;0;0
4093;3;0;1;79.56;0.82;1;0;0;0;0;1;0;1
4094;0;0;1;1.27;7.26;1;0;0;0;0;1;0;1
4095;0;0;1;0.0;7.96;1;0;0;0;0;1;0;1
4096;1;0;1;84.71;1.02;1;0;0;0;0;1;0;1
4097;0;0;1;8.33;5.92;1;0;0;0;0;1;0;1
4098;0;0;1;88.31;6.86;1;0;0;0;0;1;0;1
4099;1;0;1;45.58;0.75;1;0;0;0;1;0;0;1
4100;1;0;1;49.7;0.56;1;0;0;0;1;0;0;1
4101;1;0;1;74.93;0.78;1;0;0;0;1;0;0;1
4102;0;0;1;45.76;0.6;1;0;0;0;1;0;0;1
4103;0;0;1;45.15;1.81;1;0;0;0;0;0;0;1
4104;1;0;1;59.62;0.93;1;0;0;0;0;0;0;1
4105;0;1;1;88.3;4.98;1;0;0;0;0;0;0;1
4106;0;0;1;50.48;3.19;1;0;0;0;0;0;0;1
4107;0;0;1;5.63;4.91;1;0;0;0;0;0;0;1
4108;0;0;1;40.6;3.46;1;0;0;0;0;1;0;1
4109;5;0;0;14.07;1.76;1;0;0;0;0;1;0;0
4110;1;1;0;4.84;0.63;1;0;0;0;0;1;1;0
4111;0;1;1;80.76;0.92;1;0;0;0;0;1;0;1
4112;5;0;0;88.45;3.48;1;0;0;0;0;1;1;0
4113;5;0;0;63.97;3.16;1;0;0;0;0;1;0;0
4114;0;0;1;72.66;7.18;1;0;0;0;0;1;0;1
4115;3;0;1;75.89;0.83;1;0;0;0;1;0;0;1
4116;3;0;1;43.97;1.85;1;0;0;0;1;0;0;1
4117;0;0;1;22.91;4.95;1;0;0;0;1;0;0;1
4118;1;0;1;71.09;0.62;1;0;0;0;1;0;0;1
4119;3;0;1;0.0;1.76;1;0;0;0;1;0;0;1
4120;3;0;0;3.83;1.61;1;0;0;0;1;0;0;1
4121;0;1;1;62.28;0.67;1;0;0;0;1;0;0;1
4122;0;0;1;51.44;6.37;1;0;0;0;0;1;0;1
4123;0;0;1;88.02;4.29;1;0;0;0;0;1;0;1
4124;0;0;1;81.75;7.04;1;0;0;0;0;1;0;1
4125;0;0;1;46.43;7.25;1;0;0;0;0;1;0;1
4126;0;1;1;0.42;7.31;1;0;0;0;0;1;0;1
4127;0;1;1;21.19;7.26;1;0;0;0;0;1;0;1
4128;0;0;1;46.11;7.36;1;0;0;0;0;1;0;1
4129;0;0;1;37.83;7.69;1;0;0;0;1;0;0;1
4130;0;0;1;40.39;7.19;1;0;0;0;1;0;0;1
4131;0;0;1;4.25;7.22;1;0;0;0;1;0;0;1
4132;0;0;1;86.6;7.03;1;0;0;0;1;0;0;1
4133;0;0;1;54.23;0.99;1;0;0;0;1;0;0;1
4134;4;0;1;29.62;0.54;1;0;0;0;1;0;0;1
4135;3;0;1;74.93;0.78;1;0;0;0;1;0;0;1
4136;1;0;1;38.52;0.6;1;0;0;0;1;0;0;1
4137;0;0;1;2.29;4.03;1;0;0;0;0;1;0;1
4138;1;0;0;74.93;0.78;1;0;0;0;0;1;1;0
4139;0;0;1;86.54;6.92;1;0;0;0;0;1;0;1
4140;0;0;1;41.35;7.3;1;0;0;0;0;1;0;1
4141;3;0;1;62.56;0.91;1;0;0;0;0;1;0;1
4142;1;1;1;77.03;0.66;1;0;0;0;0;1;0;1
4143;1;0;1;70.9;2.1;1;0;0;0;0;1;0;1
4144;0;1;1;61.55;6.64;1;0;0;0;0;1;0;1
4145;0;0;1;17.58;7.27;1;0;0;0;0;1;0;1
4146;0;0;1;55.79;7.26;1;0;0;0;0;1;0;1
4147;0;0;1;53.76;7.17;1;0;0;0;0;1;0;1
4148;0;0;1;53.62;7.78;1;0;0;0;0;1;0;1
4149;0;0;1;78.0;0.71;1;0;0;0;0;0;0;1
4150;2;0;1;64.77;0.47;1;0;0;0;0;0;0;1
4151;3;1;1;81.27;0.98;1;0;0;0;0;0;0;1
4152;3;0;1;89.14;2.68;1;0;0;0;0;0;0;1
4153;2;0;1;18.83;0.5;1;0;0;0;0;0;0;1
4154;3;0;0;29.91;1.29;1;0;0;0;1;0;0;1
4155;1;1;0;51.36;0.75;1;0;0;0;1;0;1;0
4156;0;0;1;17.58;7.27;1;0;0;0;1;0;0;1
4157;0;0;1;21.11;5.35;1;0;0;0;1;0;0;1
4158;0;0;1;62.82;1.39;1;0;0;0;1;0;0;1
4159;0;0;1;64.28;0.71;1;0;0;0;1;0;0;1
4160;3;0;1;65.38;1.0;1;0;0;0;1;0;0;1
4161;0;0;1;29.51;7.29;1;0;0;0;1;0;0;1
4162;0;0;1;30.51;8.55;1;0;0;0;0;1;0;1
4163;0;1;1;45.81;7.4;1;0;0;0;0;1;0;1
4164;0;1;1;40.75;7.3;1;0;0;0;0;1;0;1
4165;0;0;1;83.44;6.96;1;0;0;0;0;1;0;1
4166;3;1;1;17.66;2.47;1;0;0;0;0;1;0;1
4167;0;1;1;6.37;6.76;1;0;0;0;0;1;0;1
4168;0;0;1;26.17;3.76;1;0;0;0;0;1;0;1
4169;0;0;1;3.84;5.6;1;0;0;0;0;1;0;1
4170;0;0;1;6.5;5.68;1;0;0;0;0;1;0;1
4171;0;0;1;18.22;5.65;1;0;0;0;0;1;0;1
4172;0;0;1;74.55;0.56;1;0;0;0;0;0;0;1
4173;0;0;1;32.24;5.52;1;0;0;0;0;0;0;1
4174;0;0;1;68.19;1.56;1;0;0;0;0;0;0;1
4175;0;0;1;0.0;1.92;1;0;0;0;0;1;0;1
4176;1;0;0;72.34;0.84;1;0;0;0;0;1;0;0
4177;0;1;1;54.36;7.19;1;0;0;0;0;1;0;1
4178;0;1;1;20.62;6.08;1;0;0;0;0;1;0;1
4179;0;0;1;76.7;4.62;1;0;0;0;0;1;0;1
4180;1;1;0;77.5;0.93;1;0;0;0;0;1;1;0
4181;0;0;1;63.95;7.57;1;0;0;0;0;1;0;1
4182;0;0;1;46.11;7.36;1;0;0;0;0;1;0;1
4183;0;0;1;88.35;7.02;1;0;0;0;0;1;0;1
4184;3;0;1;25.0;7.35;1;0;0;0;0;1;0;1
4185;0;1;1;40.11;7.23;1;0;0;0;0;1;0;1
4186;0;0;1;88.76;6.86;1;0;0;0;1;0;0;1
4187;1;1;0;78.0;0.71;1;0;0;0;1;0;1;0
4188;1;1;0;73.83;0.73;1;0;0;0;0;1;1;0
4189;1;0;0;63.96;1.07;1;0;0;0;0;1;1;0
4190;0;0;1;73.3;5.76;1;0;0;0;0;1;0;1
4191;1;1;0;64.28;0.71;1;0;0;0;0;1;1;0
4192;0;0;1;53.67;7.25;1;0;0;0;1;0;0;1
4193;0;1;1;89.89;6.91;1;0;0;0;1;0;0;1
4194;0;1;1;79.0;6.99;1;0;0;0;1;0;0;1
4195;0;0;1;87.47;7.02;1;0;0;0;1;0;0;1
4196;0;0;1;52.4;7.3;1;0;0;0;1;0;0;1
4197;0;1;1;49.15;7.22;1;0;0;0;1;0;0;1
4198;0;0;1;77.92;1.48;1;0;0;0;1;0;0;1
4199;4;0;1;48.67;0.14;1;0;0;0;1;0;0;1
4200;3;1;1;86.27;1.45;1;0;0;0;1;0;0;1
4201;0;0;1;13.18;0.71;1;0;0;0;1;0;0;1
4202;0;0;1;14.59;7.44;1;0;0;0;1;0;0;1
4203;3;0;1;66.92;1.34;1;0;0;0;0;0;0;1
4204;3;0;1;8.38;1.84;1;0;0;0;0;0;0;1
4205;0;0;1;11.35;1.63;1;0;0;0;0;0;0;1
4206;0;0;1;4.84;0.63;1;0;0;0;0;0;0;1
4207;1;0;0;50.89;1.17;1;0;0;0;1;0;0;0
4208;0;0;1;87.65;4.93;1;0;0;0;1;0;0;1
4209;0;0;1;45.54;7.13;1;0;0;0;1;0;0;1
4210;0;0;1;83.73;0.86;1;0;0;0;1;0;0;1
4211;0;0;1;33.85;7.31;1;0;0;0;1;0;0;1
4212;0;0;1;64.56;7.24;1;0;0;0;1;0;0;1
4213;0;0;1;17.08;8.21;1;0;0;0;0;1;0;1
